#At time x allocated y bytes for process z from i to j
At time 4 allocated 256 bytes for process 1 from 0 to 255 
At time 9 allocated 160 bytes for process 3 from 256 to 511 
At time 38 freed 160 bytes for process 3 from 256 to 511 
At time 38 allocated 250 bytes for process 4 from 0 to 255 
At time 45 freed 250 bytes for process 4 from 0 to 255 
At time 45 allocated 124 bytes for process 2 from 0 to 127 
At time 47 freed 124 bytes for process 2 from 0 to 127 
At time 47 allocated 100 bytes for process 5 from 0 to 127 
At time 54 freed 100 bytes for process 5 from 0 to 127 
At time 60 freed 256 bytes for process 1 from 0 to 255 
